"","GeneralType","Type","PRKCZ","EPHA2","PINK1","ID3","SFN","SESN2","SLC2A1","PTPRF","CDKN2C","JUN","GADD45A","GNG12","SHC1","LAMC1","PIK3C2B","LAMB3","TRAF5","DUSP10","CAPN2","ID2","TRIB2","TP53I3","LTBP1","EPAS1","EPCAM","HK2","CAPG","DUSP2","SPC25","ITGA6","FZD7","IDH1","FN1","IGFBP2","ARL4C","PPARG","TGFBR2","KIF15","CDC25A","LAMB2","FLNB","MITF","PHLDB2","MYLK","TIPARP","MECOM","TNIK","PLD1","TNFSF10","CLDN1","BCL6","SGCB","IL8","PTPN13","PITX2","CAMK2D","VEGFC","PARP8","ITGA2","IL6ST","MAP3K1","PLK2","SSBP2","EGR1","DUSP1","FOXC1","NEDD9","DDR1","HSPA1A","HSPA1B","BAG2","CD109","AIM1","SESN1","FYN","SGK1","MAP3K5","TNFAIP3","PERP","FAM20C","PDGFA","MAD1L1","TWIST1","GLI3","STK17A","IGFBP3","GRB10","CDK6","LAMB1","MET","HIPK2","PARP12","TNFRSF10A","DUSP4","FGFR1","SNAI2","LYN","E2F5","CCNE2","FZD6","EXT1","SNTB1","CDKN2A","TLE1","NEK6","DIP2C","CAMK1D","ITGB1","DKK1","AIFM2","PCBD1","DDIT4","FAS","DUSP5","MGMT","CD82","DDB2","DTX4","CCND1","ENDOD1","BIRC3","CASP4","ETS1","PTPN6","EPS8","MGST1","PRICKLE1","DDIT3","DUSP6","SOCS2","ELK3","FARP1","ZIC2","EFNB2","IRS2","COL4A1","COL4A2","PCK2","PRKD1","CFL2","NFKBIA","PYGL","BMP4","DAAM1","SIX4","HSPA2","FOS","VRK1","EVL","THBS1","IDH2","BLM","MVP","MLKL","PLCG2","JUP","FZD2","MAP2K6","RAC3","NDC80","LAMA3","TCF4","ATP8B1","PMAIP1","GADD45B","ICAM1","ICAM3","CDKN2D","DLL3","AXL","RELB","RRAS","TRIB3","PLCB4","PYGB","ID1","CD40","SIK1","PDK3","MSN","PHKA1","FLNA"
"EW-16","bone","ewings_sarcoma",3.627261924,3.458824996,7.185895684,8.744696977,3.942388989,5.336490432,4.610808508,6.81063001,8.1067423,7.442520121,8.010707006,4.342801071,7.325372555,6.416486916,6.986288223,4.231318737,6.006035318,3.337373101,8.172320082,9.14066391,5.49194299,5.82348594,4.911043756,4.995248836,2.752595072,4.955317914,7.199494234,3.700002236,7.682479059,4.766749479,6.131179577,8.384139096,11.04144213,9.905185751,6.703541742,3.406187579,4.390439224,7.054095951,5.762157301,5.441726817,5.864907986,5.204899851,6.968737717,7.023127073,8.542483118,3.516604202,2.942341867,3.881325411,2.954541947,6.966681302,4.722152284,6.820031546,4.462642869,9.77569647,5.901111795,4.591152692,3.524995091,3.948317099,3.729411312,5.268533961,3.874686185,3.509799439,7.364212954,5.305617977,4.350993704,4.216779418,3.215030049,5.428345393,9.411943881,7.091281445,6.579387066,4.211240214,3.48410336,5.962764413,6.238599981,7.554738982,4.97790796,3.708099824,3.934643087,6.597493155,4.085144927,5.81564941,8.845525337,4.415616194,6.731726304,2.885616202,5.73119184,7.25499968,4.891932683,3.113427386,4.709564547,6.308288623,4.574760165,5.962796221,6.136510096,7.790872532,4.289071013,8.952976962,6.82165909,4.830822888,7.42814427,5.157182578,3.651811047,3.595784697,5.270858032,7.150114094,6.268829563,8.099728014,4.935626967,3.887462351,6.861188979,8.050195968,5.340810426,6.101306656,7.454129502,5.157633418,6.128886933,4.870029962,9.824295951,3.516883491,2.593967838,6.997179394,3.322612792,3.876822433,6.299851769,6.21397095,3.551037656,4.607775524,6.807168298,3.724774814,6.626438362,7.446064251,9.632715848,5.989629447,9.350443315,6.101777048,7.736500334,4.35456934,3.009452054,7.793823867,7.880064755,6.195912611,2.951132015,6.020877247,5.625025723,5.301821784,7.830528518,8.819210829,5.677141926,3.252023984,8.045301594,8.446941135,5.143248123,5.66398041,5.938723293,7.315682132,8.152621201,7.008220382,7.399900852,8.410755709,3.366223003,7.348810415,7.087000002,6.776190493,5.984515465,3.15706654,4.825924387,6.805319864,3.634185641,4.424221496,4.511159361,5.846703911,5.086091058,3.414154997,4.498060395,8.776700572,4.136619676,6.188686635,4.596681267,8.884248246,2.996238769,7.209846734
"EW-18","bone","ewings_sarcoma",7.518142595,4.294948072,7.485036654,9.566810563,4.014761563,7.023609326,7.189749254,7.9140108,7.456333734,5.942510919,8.441269296,3.918734286,7.415061471,5.706544512,5.572683482,5.213911278,4.748959825,3.302641595,7.326284224,9.424257019,6.397673987,4.595585112,4.01048699,3.694865337,3.753401951,7.661937638,5.378330944,3.70776183,6.899549228,3.895255162,4.280122584,8.821461478,8.52782951,9.797101003,6.006724784,3.589471123,3.287823096,6.944270346,6.605954033,3.643293657,5.366833206,3.621696589,3.335053195,5.947831332,6.216851641,3.308141445,2.95387878,3.32857562,2.957978506,6.843006162,7.175896803,5.126551718,3.237238639,7.878231726,8.827983183,3.248316523,3.220227191,3.819425617,3.606670462,3.814843973,5.207081923,3.27478733,6.020800443,4.703781387,4.084238846,3.185220695,3.044801319,5.035034487,10.22925614,8.697782675,7.727978537,3.047581176,2.963904306,4.438669034,7.127142053,6.985989822,3.761419592,3.669460257,4.249555792,5.583976721,3.351927814,5.676724037,4.221507979,5.234016136,5.906022309,2.802283799,7.226329888,3.815016363,5.695926924,3.377136556,6.465190032,4.016212717,3.817079624,5.99374578,7.829545067,5.65037687,4.046793501,10.03785106,7.013309625,4.972571563,7.445382012,3.106978815,6.963682054,6.445886151,6.08821352,5.34445637,5.12894863,6.721765779,3.015519697,4.268715749,7.131385224,8.864397692,7.014400798,3.6250613,6.908228129,4.678681119,4.997141204,4.972998625,9.284508696,3.524159992,2.901178933,3.608697338,3.12135198,3.812260974,5.578355431,11.57517902,4.80113384,5.904546828,8.788161961,2.795748273,6.252819047,6.406926084,8.63108682,3.38894523,10.15143527,5.224654119,7.528204647,3.903289344,4.799314945,6.679330621,6.791103846,4.777409001,2.601750609,5.522677138,4.234823535,5.40111553,5.482733808,8.523999977,6.176777416,3.061247515,8.215891212,8.595661341,4.313277611,3.758761996,4.230225776,7.581414333,7.581715159,7.483696608,9.315555425,7.727344614,2.847873079,7.354887507,2.828347987,8.160987325,5.067773902,3.087313252,5.279836219,6.569311022,6.885001977,3.790679036,3.468135681,5.969729629,5.460364516,3.232932557,4.591850435,6.755897118,7.090479256,5.548845524,6.015154929,8.371555735,3.030204598,6.366930392
"EW-22","bone","ewings_sarcoma",4.851623995,4.572078867,6.300546233,9.984949306,3.38093039,7.755764717,5.772793418,7.370523041,8.147469253,6.770813063,8.778409366,3.571283848,7.215255552,6.394306165,6.762607509,4.318271504,4.683831969,3.695955018,8.027566955,8.83542821,6.129233404,3.78310111,3.730995709,3.947320857,3.788618327,6.778695039,3.719157883,3.613628776,7.737347054,4.573384169,4.795202359,8.50707996,6.723942023,10.49919067,4.402014944,3.264170287,3.519184196,7.382220425,6.593601394,4.215489795,6.229009026,3.452444177,3.577065571,5.214004749,7.184328954,3.120010345,2.953354363,3.351347314,2.831364538,7.000072956,8.016207798,5.855652051,3.190388134,8.588534648,8.968520858,4.493107731,2.853750108,4.143568446,4.474005423,3.846491865,5.45531166,3.165199398,6.082785627,4.33063655,5.305490298,3.361824793,2.85259093,5.707742839,9.600114525,8.48722134,6.753007903,2.926072559,3.980717955,4.850414305,7.69455017,6.554029911,4.460223758,4.776466485,3.848113101,3.666293126,3.277104082,6.021424646,8.496933325,7.197514033,5.976006043,3.522347047,7.612313883,6.874912683,5.374918359,3.320030407,5.468825956,3.7714428,3.821059373,5.20142899,6.56561248,4.567828775,3.378113703,10.82656286,6.618539943,6.317743963,6.992813819,3.934890207,6.856067561,5.81691326,6.028720785,5.94305775,4.781645354,7.110624381,3.298224091,3.815649943,6.224521478,7.716425858,3.892486534,3.169871101,7.588698437,4.914910032,5.03313768,5.193487732,8.417310279,3.247234458,2.826174919,3.816162327,3.006671887,3.830713397,6.125034317,9.683148378,6.05138454,6.360871762,4.59900832,2.918076436,6.712563751,6.995998278,9.431847605,3.483627189,9.002262466,5.41728906,7.06044793,4.195688094,2.633160317,7.079783592,7.616205837,4.614144298,2.736728888,6.354377396,7.500889003,5.713085343,5.24797796,8.822483011,6.46901649,3.303162522,8.40827774,8.764279166,3.916113621,4.760486223,3.397580956,7.008381125,8.298045949,5.619159111,7.700232665,8.842290695,3.24269693,8.687020894,2.645080284,9.919244074,5.666244571,3.952894699,4.109358895,7.297504907,7.233259835,3.406928484,4.465012977,6.739231373,6.837130647,4.363462986,5.500822938,7.111889293,7.387364536,5.162476583,5.551954042,8.845409724,5.584613387,7.120066678
"EW-24","bone","ewings_sarcoma",4.031793627,4.111145805,5.639959868,7.449042101,4.090142836,8.67576844,5.029014591,6.497839877,6.414637785,5.993355364,8.968026935,4.522914808,8.380256632,5.901935837,5.746261878,7.212641546,6.380863276,3.483296234,8.340637042,8.511262268,8.499458703,3.878781835,5.696513166,4.363202216,3.19718871,5.046918322,5.127847007,3.854552301,6.168375354,3.32580707,6.699713022,8.091334542,12.23581537,10.71886705,3.940911235,3.477552782,3.812528522,7.378400794,5.667393187,4.899893383,6.80512277,3.585703889,6.569690318,3.475014382,7.052255546,6.218994625,3.815963538,4.631706615,3.198547397,4.581887076,5.121305072,5.982220164,3.543555053,8.315259482,7.846591293,5.083102305,3.1974297,6.222898221,3.998808545,5.658910577,4.911082602,3.343600615,6.815512664,5.549266944,3.826795277,3.522488832,2.965702794,4.592344627,8.121971068,6.53113786,6.144578492,4.091115115,5.428480654,4.643406188,7.322419575,8.185723427,3.918594335,4.388732089,4.166963521,6.612524678,3.999735623,5.17085829,8.387715442,6.93433977,6.855816772,3.61321866,7.134549305,3.991449904,5.69997614,3.255477253,4.669393006,6.159391171,4.504322249,6.379634601,7.138392389,6.777863581,6.302250978,9.497120104,5.129030274,6.01969142,6.111393279,5.213482484,7.186740962,5.948792317,5.931610254,7.087691056,6.3470126,7.029664084,3.774447796,3.913324434,6.48006162,9.973938126,6.741572474,6.835505494,6.594377059,4.424998256,5.158153171,6.007968567,10.11138631,3.99700711,3.193632291,5.59858467,3.539523993,3.958126269,5.978885238,5.889495462,4.127075265,8.146420055,6.132285339,5.921676098,7.627563073,5.735547182,8.741578818,5.870829558,7.596741441,5.033891185,6.738813036,6.103721787,3.709797075,6.829518301,7.252649256,6.531930493,3.017712663,5.011030846,5.926543734,6.43173933,6.486725014,8.481555445,5.398047711,3.450425892,7.525904824,8.341219443,5.54155023,7.715063387,4.535129313,7.384772716,9.123398583,8.226924309,7.574149057,8.027097568,3.788965042,9.313156534,5.773935518,8.716120224,4.643544252,3.536037569,4.525794602,5.986867296,5.053759201,5.104750194,4.226343388,6.521237199,8.594935716,3.785493086,6.081427442,7.267914633,6.353077831,4.949987001,5.031794159,8.181302901,4.457191804,7.263690127
"EW-3","bone","ewings_sarcoma",3.830745455,3.100548706,5.376189861,6.724642336,4.118275307,7.986994348,5.524882538,8.018993668,7.398792256,5.623277599,7.70385765,4.134035671,7.169679024,7.191539567,6.660532026,7.865056575,5.801899799,3.564635926,8.434340039,9.191874764,9.777359158,3.904248575,5.943300517,3.739896859,3.173746338,5.99020762,4.796201434,3.369209781,6.676892287,3.203559893,5.504206563,8.631227251,11.19103363,10.73729471,4.229532934,3.366769286,3.60867232,6.985254245,5.720654827,4.101054908,6.678118597,3.387745184,5.667792116,5.195313205,6.511732271,4.209965139,3.449462488,3.417096615,3.021464667,6.20245346,7.307138736,6.531274412,3.466722925,9.317334176,10.39633274,3.459419026,3.312812105,6.019248708,4.840633127,4.411883844,5.249673106,3.429129838,7.151447634,5.824799429,3.82780879,3.726240305,3.1722233,4.87278592,9.080307213,6.380110015,6.704302636,3.210639377,4.787600421,5.13795404,7.517875312,8.005536007,4.732694075,6.347501499,4.791274894,3.382484881,3.659747988,4.501782425,10.54241968,6.521549028,6.140892663,2.93125322,6.690712658,3.640730963,5.502058774,3.285704001,5.244575476,6.536341342,4.529348495,5.383934577,6.524062682,3.421971852,3.975369692,10.07130354,5.483455309,6.077763295,7.409758951,3.990289856,6.179844807,7.968386621,5.346191375,7.209281369,6.132167505,7.831121534,2.737260252,4.983134288,6.271771282,7.248089238,4.376870954,4.072315987,7.49685959,3.715877397,6.557305967,4.646570941,10.12576756,3.821299435,2.728056373,5.232637765,2.925091027,4.258877433,5.420632248,7.27310155,3.861792859,5.453735558,8.180334921,3.189872796,7.064381211,5.45888612,8.837921735,3.837978842,8.639859893,4.501737082,5.26072078,6.316385948,3.424872326,6.359344588,6.9738548,4.245784885,2.834712023,5.14393698,6.192730722,7.268583519,5.366348384,8.737067584,6.669419062,3.255489314,7.129401517,8.48058509,4.70919007,6.714174791,3.321994307,5.974709451,7.747220794,7.278361519,7.761042684,7.511891536,3.844117244,8.057135126,3.792865015,8.243432006,3.753055673,3.025055318,4.475927925,6.499864498,5.854632196,3.734655382,3.936456807,4.272229565,6.923779889,5.665945875,4.436606646,5.811391091,4.44771289,3.464001495,5.604111026,7.962788214,3.415846728,6.194387446
"EW-7","bone","ewings_sarcoma",5.696102552,3.187044335,7.586878211,11.05913046,4.379348765,6.79988309,4.408444879,6.072834272,8.312126943,6.485107768,8.367773096,5.409555188,7.064053521,6.657671589,4.804921638,4.092141078,6.279599913,3.548928475,8.124396446,9.97619008,8.931982383,4.712195587,3.430404157,5.806895001,2.805536062,4.249947276,5.264686645,7.736881465,7.396911999,3.405862954,8.738935876,6.998000392,3.946482702,9.306733465,5.879059173,3.558298711,3.586607633,7.114037309,5.573906024,6.047326416,6.231264312,4.314839348,5.033953791,4.550978012,7.845478069,3.1091554,2.912535004,3.344073151,5.135596262,4.601567483,6.197711663,5.820313323,3.328589981,8.158737004,7.801158206,5.470814687,2.962441634,3.518014995,3.336169394,4.489184279,4.792806872,3.221088233,7.146148397,6.654299878,4.306455733,4.837427846,3.04908171,6.584852559,9.838016193,6.00908892,5.327174757,4.518648258,3.16031636,6.68494346,4.995788561,5.85976229,5.371588763,4.181072619,3.508951209,7.625070046,4.8263813,5.143128788,5.970584006,5.813998538,5.626280743,2.857710138,3.297886273,3.926007479,5.007679489,3.251485724,4.755866196,6.963696975,5.902262598,6.888542758,5.427929284,7.799082583,7.033738588,9.28980732,6.37268582,4.469409908,7.291335367,4.021333176,3.982524301,6.735546727,3.51104567,7.179579472,8.05561776,8.340396488,2.784412102,5.026365997,9.064537351,8.708746226,4.291232264,5.213771957,7.160145984,5.436497707,6.669980207,4.668171629,10.90843418,4.278607953,2.767149691,5.66774184,3.236734695,4.016474834,4.771400688,3.638727984,3.726356702,7.188238623,4.938051719,3.308949139,6.741547889,6.792550963,6.794026446,3.411753918,10.3307459,4.312435109,4.739588416,4.664907831,2.696510351,6.688057748,9.282029104,7.34258262,2.947067736,6.652691141,4.176147831,4.898588559,7.472785935,8.370312101,4.495892773,3.216100016,7.173208127,8.741085328,4.723669705,6.301800799,3.917138146,6.402903698,5.830872936,6.508601792,6.884158646,7.58822162,3.050056117,9.592582959,3.118450466,6.178743546,5.475959332,3.062556258,5.730011309,8.163273702,5.34021868,5.980622014,3.983572582,7.168676927,7.894623458,3.038961733,5.400918063,10.85904621,5.158703948,5.700321967,4.414953561,8.538408207,4.222449485,7.029096274
"SK-ES-1","bone","ewings_sarcoma",5.450380762,4.540634803,6.412306774,9.996242116,3.31482168,7.18153299,5.337744459,7.75164961,7.995425215,6.834471298,8.64130612,5.094680326,7.534078494,4.613536606,5.949958678,3.996889428,4.579091091,3.224280578,7.753774405,8.586874763,8.171296466,4.481757153,4.601195117,3.801444568,3.497690842,6.312064559,5.978507114,3.449505059,6.757856363,2.662125135,4.577669477,9.096619651,6.448657515,9.575546613,4.804737903,3.244238723,3.348182856,6.980016581,5.482574358,4.061522584,5.783402136,3.887752896,6.412283233,4.031369119,7.020505924,3.037911498,2.913360755,3.223514858,2.85743603,7.615972538,7.694487647,5.822007328,3.026800097,8.673749955,9.233269335,3.536945126,3.304065726,6.078157023,3.285064431,3.846522421,4.439610954,3.097015837,6.677129817,5.473317347,4.065401002,3.273351607,3.080693899,5.686287913,3.025786841,7.657067283,6.802256243,4.160178296,3.218825098,5.661681376,6.989160857,5.841696779,3.502706603,3.462212717,4.343190861,3.851087851,3.464042879,5.019947191,9.417662926,7.190119073,4.190124409,3.158893882,7.708618411,3.517686644,6.360658106,3.407795786,4.716347012,3.953925812,3.858235021,5.086868566,5.207797042,3.795813408,4.061115416,10.88266679,5.542642502,6.598388705,7.507546142,3.25516312,6.870420469,5.924405599,6.012114878,6.202633853,5.61340586,7.410824247,2.956393486,6.159220876,6.978057891,7.423978725,4.816799456,3.426737975,8.221084036,4.68177947,6.086426162,4.281233116,9.261900277,3.481880546,2.574698686,4.626201466,2.881387134,3.83738429,6.581266058,9.215298582,4.089229939,6.274196514,8.480148357,2.992495127,5.925158256,5.828391831,8.569833203,3.591618657,9.406830934,5.092779939,6.628863149,5.689463038,2.91427896,7.544212543,7.544093751,6.904588753,2.99526395,6.246983747,6.613864852,5.943867958,5.488295364,8.642600033,6.321468761,3.367710837,7.49213058,7.770090951,4.658421272,4.629112663,3.773715579,6.146532224,7.190751005,7.743340476,8.718872696,7.111767812,3.038472083,7.903776826,3.01432378,8.206449302,4.702173107,3.002577733,3.958201142,7.171821617,6.730085842,4.682222714,3.755628179,8.036530931,5.518398887,3.085938811,4.797461673,7.463681713,6.888086732,3.751929036,5.973011965,8.257038212,2.926540049,7.004893036
"SK-PN-DW","bone","ewings_sarcoma",3.762538482,3.920662791,6.616464652,9.606823785,3.740094022,9.342651083,5.279978411,7.377574382,8.185308357,6.302817372,9.865358864,6.497397557,5.791831359,6.112901301,4.044400551,4.777134521,3.836984681,3.428593112,3.89827465,7.276284398,7.595356745,4.961559079,5.560482009,3.792836066,3.082828875,7.022552112,3.365873218,5.636002893,7.341451838,2.875498326,4.600667402,9.05472963,10.58198275,9.38814392,8.372234013,3.38333714,3.940941777,6.520299778,5.27996196,5.320319005,6.46403446,4.4808156,3.609333867,3.952888736,6.51814934,4.279893104,3.252883721,5.073574461,2.969061215,7.017244104,6.067346615,6.344370151,3.280201951,9.307148484,5.064494112,5.451466798,3.33388053,5.869698791,3.509096666,3.970319542,4.998411633,3.655717498,7.304611242,6.312698393,3.627714242,3.407122431,3.140761663,5.642869476,10.28660013,9.419149391,6.857241874,3.678000448,5.047778697,6.106925932,8.280690772,8.271475235,5.741909431,4.078859695,3.571284767,4.108782371,3.516423372,5.24362411,8.656381688,3.437141194,3.860595909,2.857033462,6.118656907,5.454091496,6.319375825,3.370112119,3.243322732,4.324248487,3.788421917,4.461073435,5.444286641,4.074338318,3.316602622,8.892490993,5.36447914,6.135663867,7.601123584,5.219917208,7.848193114,6.658084315,5.596309928,6.731526147,6.719841149,8.188741123,2.491897287,3.409578099,7.05037546,10.67246799,7.685065846,6.399853694,7.064834288,4.41160327,4.873239415,5.277415667,9.168763619,4.253591746,3.161536723,4.022502987,3.43728655,4.082302958,6.205888549,4.070454955,3.898502245,7.723468262,7.850808341,3.485817249,6.643125647,4.773015544,6.132249666,3.538193511,6.891944873,4.282572614,4.333771344,6.666384621,7.31077253,7.255424717,7.478894292,4.657498973,2.883017501,6.684254882,7.400802522,3.923596686,5.397261988,8.875713363,6.258908175,3.327717677,6.095824681,7.945502614,5.507487843,5.27038122,5.616307407,3.691298153,5.935459638,8.985508092,7.944534036,6.843961003,3.8488454,6.598277208,2.916086223,3.623975289,4.595821238,3.223098588,3.872831774,6.944610536,6.54322055,3.676929647,3.694721974,6.590303718,8.96233414,4.790266422,6.41616062,9.455833807,6.493928699,5.794698365,4.998055187,8.637922241,5.519991783,5.533973454
"TC-71","bone","ewings_sarcoma",5.009207214,3.736329251,7.508137891,9.405769395,4.052700906,6.386979152,4.539629832,7.014124823,7.951345766,6.297954617,8.388079961,3.612374697,7.68096958,5.994963372,6.867650036,3.821836661,5.434095215,3.371099047,7.592780297,8.748962786,8.633292132,6.166504736,4.507484793,3.536592237,3.812031321,6.398582192,7.917825844,7.230416778,7.426408951,2.930349399,6.823186145,8.686645478,3.520461267,9.41887212,5.408305444,2.992375761,3.538071945,7.067420037,5.771184343,5.248183223,4.620113224,3.365342118,3.644725701,3.871937767,6.196253614,3.341733008,3.150713628,3.755616993,2.76759837,6.803596465,5.781075656,5.83333336,3.511047483,7.862867206,8.217547445,4.24574614,3.149292258,4.699854691,4.465238178,3.827007277,3.833677145,3.059719025,6.06621399,7.325366266,3.924537812,3.503191262,3.098324357,4.984946908,10.25842952,7.880642094,7.326027074,4.127345048,3.147560169,6.556762094,6.314496496,4.188407079,6.019707844,7.501188154,7.04388855,5.835422683,3.512749882,5.70540825,9.662899083,5.291047609,5.461602669,2.92094737,6.605770899,4.048479312,5.190122937,3.187825214,3.46752186,5.16064915,6.723664872,3.595125586,5.682806734,7.391157714,7.212893407,10.59985103,6.718831681,6.722302022,9.024106127,3.261114942,3.629862026,3.753705497,4.864178232,6.16646216,5.057141542,7.489497406,2.878487038,4.680947938,7.257936892,8.338749217,4.139618545,5.729673613,7.400479995,5.379393734,5.818530051,4.325426578,9.251451275,3.947145569,2.94978807,4.369781629,2.803915166,3.941990135,4.441224797,10.83103564,3.669851928,5.62265903,8.047191537,5.66458999,5.590856928,6.779678692,8.326835614,3.353529616,9.207995226,3.720684338,3.604393459,5.85032131,5.284142837,8.575025532,7.283300444,9.434269871,3.086959573,5.959596789,6.656716085,3.393669721,3.802969935,10.27432908,6.082082583,3.224115407,6.89148898,7.975232163,5.069333345,6.496141636,5.718174541,6.347609109,5.932895963,7.327502442,7.978838364,7.490068972,2.997462663,8.414782645,3.321898594,8.651630045,5.033829775,3.21365287,6.237380693,6.99589351,6.940898907,3.797804799,3.514754681,8.499445501,6.186877097,2.971471959,4.819155256,9.2474531,3.34135489,6.085181588,3.862767866,9.00022783,4.058443662,5.628139967
"CAL-72","bone","osteosarcoma",3.200050717,3.804862097,7.5070639,8.302756596,3.526872932,6.745873605,7.430681663,5.645965767,7.527102304,9.156490619,10.80094751,9.592346773,6.707613144,8.013101406,3.956846573,3.949709962,4.417126371,6.613760922,9.195908633,3.332055972,4.321701184,6.427980539,4.851154457,6.717206133,3.180438291,8.640051803,8.079667166,3.389400599,8.93769451,6.976103179,5.847701765,8.160075034,9.509804926,3.920666173,8.685954139,8.339806617,5.300796659,7.125456641,5.898021282,5.449823514,7.528709028,5.289659172,5.844642304,8.429497922,6.979150334,5.957927386,3.497897525,5.196219409,2.686224482,3.255786063,5.983192733,6.835040947,5.737099311,5.691700316,4.742611214,5.502392859,7.922055637,6.608950997,6.104638396,6.500595202,7.35934468,7.063544976,6.463526662,6.083970742,4.888606057,6.176132092,3.786570994,4.452913889,10.40274991,8.002899857,9.368699609,6.427119679,4.135004287,4.15505213,6.78987232,7.461237534,5.173283862,5.016300723,5.820950386,6.939405164,5.335316304,8.78318999,9.156464544,7.700896623,8.209020232,8.269390213,5.579359198,7.277701757,4.758793345,4.326690156,6.595160601,5.656740883,4.677492402,7.558678603,6.097193654,11.00015738,6.833906275,7.076708141,6.92579199,6.315339811,10.29670179,7.712228092,3.48468483,8.328892812,7.537845198,5.674783371,4.430105722,8.120368388,8.613685148,3.658689037,5.467446761,10.79683739,5.627215061,7.540487257,3.121193985,7.778974879,5.805684782,4.247693862,6.880063702,5.791116074,3.861502797,8.280093221,6.122863165,3.921243934,7.901212772,9.664680826,3.69155223,6.231740643,5.158525829,3.226484798,7.948422969,5.403050694,6.872382537,4.187322356,3.738422572,3.645661794,4.331307479,4.264874698,7.339230862,9.383747345,8.027931578,8.446737267,3.443876157,5.884051861,7.53730877,7.284242014,3.381975329,8.680927924,4.455610951,6.973473646,6.558939374,8.412757182,6.719910382,6.361240611,4.245076956,3.54008306,9.015657661,4.665391659,7.295227695,8.688078413,3.257479487,5.982816056,4.139186918,7.867475637,8.038738508,4.133109342,6.83516072,6.310556555,4.768687838,8.392184647,4.734309677,7.768524886,5.115291368,6.346140524,5.073551506,8.04851561,6.147828663,6.807225353,4.911278938,8.533296512,3.181560309,7.229063627
"HOS","bone","osteosarcoma",6.576966291,5.498656216,6.451329073,8.259645564,4.009722735,7.133750326,6.954987132,6.740933218,7.619413024,6.437439759,9.237629899,8.902582822,6.518369122,8.595649324,4.477959864,3.845423013,7.190341046,3.921919985,7.616656727,4.25505481,4.083144633,5.38622007,3.479243295,6.070529545,6.304526554,5.787020347,6.248107399,3.27673656,6.986276259,6.27030128,6.498825158,7.884798588,8.692021094,9.806289428,6.163374936,4.640839026,4.742561703,6.062548049,4.629998995,5.990259625,7.744875293,4.290969102,6.669506331,7.650312098,7.152930708,5.738411939,4.56558473,4.815215701,2.965376256,3.978160759,5.741900336,6.129019646,3.468502797,7.254384636,7.422978918,5.797381637,7.677159092,6.808150554,3.80054812,6.377668945,7.978977109,6.7248629,5.862302593,6.834425165,5.457579157,7.071646143,4.496514242,6.061664259,8.565719872,6.879483064,7.731315309,4.366766152,3.860452276,4.570514427,7.968325165,7.724797108,4.392572368,4.839987455,7.572375966,6.992966628,6.455347301,6.305483249,8.852808017,7.016601966,7.628471676,4.182561159,6.903459122,8.617627808,5.961474964,4.416913808,4.7887694,7.62358841,3.937305236,6.740552781,5.634025354,7.418561886,5.664068701,7.955410484,4.327753673,7.38937965,8.129781581,5.142815155,3.439945369,7.40673568,6.213276683,6.874161284,5.185327779,8.507329694,7.62275782,4.259028548,7.750368297,10.0191381,4.042430866,6.79728303,4.771775165,4.779654598,5.4179285,6.312857272,7.386736583,3.810256268,4.017013725,6.41076589,4.579904974,3.674611956,7.053583134,10.36103315,6.796961214,4.564102303,6.898949968,3.419948926,6.483479849,7.457392561,7.059289584,4.63996784,6.626642828,8.636911626,9.508191702,6.797861906,6.903830803,8.470921463,8.117787892,10.68213005,7.96661021,8.445256758,8.642890324,9.428604921,5.379423238,8.813404954,6.013720162,6.236063804,7.56374483,7.898297738,5.929784112,5.934238069,3.735867001,8.229062347,10.1125775,4.934925247,6.506583428,8.713053045,3.409055101,6.777656256,5.556659288,7.253208973,7.957372903,5.353967017,4.999332732,5.031740977,5.040283713,8.714090957,5.423238332,7.408171794,6.256737937,5.969385754,5.261223433,6.864396507,3.554452286,5.592693063,4.817354357,8.320518664,4.843541149,7.848974203
